BV号：BV1z4411N77X
标题：BV1z4411N77X
链接：https://www.bilibili.com/video/BV1z4411N77X
识别语言：zh
语言置信度：1
分段数：516
生成时间：2026-04-04 08:02:21

[00:00:04 - 00:00:07] 大家好,我上学习院的更快乐的张雪峰老师
[00:16:23 - 00:16:25] 所以说我们不能拿排名去一刀切说
[00:16:25 - 00:16:27] 那个学校好后那个学校不好
[00:16:27 - 00:16:28] 这样是绝对不好的
[00:16:28 - 00:16:30] 那么填爆大学志愿的时候
[00:16:30 - 00:16:32] 科学的仓口排名
[00:16:32 - 00:16:35] 切勿过渡取名气
[00:16:35 - 00:16:36] 你不要说说
[00:16:36 - 00:16:37] 你看我这孩子
[00:16:37 - 00:16:39] 我这份我上了一个排名靠前的学校
[00:16:39 - 00:16:41] 我这份上了一个排名靠后的学校
[00:16:41 - 00:16:44] 尤其是在新高考的体制下
[00:16:44 - 00:16:45] 在新高考体制下
[00:16:45 - 00:16:46] 我们说的是学校和专业
[00:16:46 - 00:16:48] 它是一个组合
[00:16:48 - 00:16:51] 有可能一个比较好的学校
[00:16:51 - 00:16:55] 但是他相对一般的转业不如那些相对
[00:16:55 - 00:16:56] 没有那么有名气的学校
[00:16:56 - 00:16:57] 他最好的转业墙
[00:16:57 - 00:16:59] 因为这是大家的一个选择
[00:16:59 - 00:17:03] 所以说大家切记不要过度民心排名
[00:17:03 - 00:17:03] 好不好
[00:17:03 - 00:17:05] 那么咱们今天这节课就讲到这里
[00:17:05 - 00:17:07] 希望大家不用民心排名
[00:17:07 - 00:17:07] 好吗
[00:17:07 - 00:17:09] 咱们下期再见
