BV号：BV1M44y117AJ
标题：BV1M44y117AJ
链接：https://www.bilibili.com/video/BV1M44y117AJ
识别语言：zh
语言置信度：1
分段数：625
生成时间：2026-04-03 22:56:19

[00:00:03 - 00:00:22] 我不是完全因为说你没有北京户口
[00:18:47 - 00:18:48] 你哪一年的来着
[00:18:48 - 00:18:48] 九二年
[00:18:48 - 00:18:50] 九二年了是吧
[00:18:50 - 00:18:51] 二十九岁
[00:18:51 - 00:18:53] 二十八九岁
[00:18:53 - 00:18:54] 比我二十八九岁强多了
[00:18:54 - 00:18:55] 真的
[00:18:55 - 00:18:58] 我28、29岁的时候可倒不了你这样
[00:18:59 - 00:19:02] 我最近焦虑的就是从安洋讲做结束之后
[00:19:02 - 00:19:03] 再怀疑自己
[00:19:04 - 00:19:05] 怀疑自己
[00:19:05 - 00:19:05] 对
[00:19:05 - 00:19:07] 我需要有一定的压力
[00:19:07 - 00:19:09] 因为之前做的确是太顺利
[00:19:10 - 00:19:11] 你最近在看什么书
[00:19:12 - 00:19:14] 那个李淡的校长上手刚看完看退场
[00:19:14 - 00:19:15] 然后呢
[00:19:15 - 00:19:16] 在之前的在看
[00:19:16 - 00:19:16] 你看我什么书
[00:19:17 - 00:19:18] 在之前看
[00:19:18 - 00:19:19] 你看这本书是什么时候
[00:19:20 - 00:19:21] 一周日前
[00:19:21 - 00:19:22] 两周日前
[00:19:22 - 00:19:24] 一周半
[00:19:24 - 00:19:25] 一周半
[00:19:25 - 00:19:27] 好 那在这本书之前看过什么书
[00:19:27 - 00:19:29] 一周半之前全罢的是你的视频
[00:19:30 - 00:19:34] 我一说五辆我之前在没有做咱们这个事情之前
[00:19:34 - 00:19:36] 我每个星期会读一本书
[00:19:36 - 00:19:39] 每个星期真的自己会读一本书
[00:19:39 - 00:19:42] 读完这本书以后的话我会把这本书给它总结
[00:19:42 - 00:19:45] 总结完以后的话去输出
[00:19:45 - 00:19:48] 然后的话 经常在我的讲错过程当中
[00:19:48 - 00:19:51] 讲错过程当中我会把我新看到这本书的一些内容
[00:19:51 - 00:19:53] 我把好玩的东西给它加进去
[00:19:53 - 00:19:55] 然后往外去讲
[00:19:55 - 00:20:00] 这就是为什么可能我16年所谓的开生活到现在我依然很活
[00:20:00 - 00:20:04] 就是因为对于这种东西我一直在有输入
[00:20:04 - 00:20:06] 然后再有输出
[00:20:06 - 00:20:09] 所以说终身学习这个事情我们总是挂在嘴边
[00:20:09 - 00:20:12] 说人要终身学习你在职场当着终身学习
[00:20:12 - 00:20:15] 但是真正终身学习的人又有多少呢
[00:20:15 - 00:20:17] 其实没有多少
[00:20:17 - 00:20:19] 那这是我最近焦虑的内容
[00:20:19 - 00:20:21] 你最近悄虑的内容是哪些
[00:20:21 - 00:20:22] 每天什么事情都在找你
[00:20:22 - 00:20:24] 什么事情都在找你
[00:20:24 - 00:20:26] 所以说我也在怀疑说自己的能力
[00:20:26 - 00:20:27] 到底能不能做
[00:20:28 - 00:20:28] 但是我想的是
[00:20:28 - 00:20:30] 等你自己能做的时候
[00:20:30 - 00:20:32] 这个事这个机会可能就没有了
[00:20:32 - 00:20:33] 你就得咬着牙继续往前坐
[00:20:33 - 00:20:35] 所以说我觉得当我们遇到机会的时候
[00:20:35 - 00:20:36] 一定要去试一试
[00:20:36 - 00:20:37] 不是你会遗憾
[00:20:37 - 00:20:39] 就问我为什么说我要去
[00:20:39 - 00:20:40] 来做这个事情一样
[00:20:41 - 00:20:41] 就是
[00:20:42 - 00:20:45] 就是你就是你不希望有一天你说
[00:20:45 - 00:20:47] 哎这个事应该能行
[00:20:47 - 00:20:48] 但到底行不行
[00:20:48 - 00:20:50] 你不知道
[00:20:50 - 00:20:51] 因为你没有做过
[00:20:51 - 00:20:54] 哪怕我们今天做这个事情说你不行
[00:20:54 - 00:20:57] 我知道原来我不行
[00:20:57 - 00:20:58] 那我为什么不行
[00:20:58 - 00:20:59] 我在哪里不行
[00:20:59 - 00:21:00] 对
[00:21:00 - 00:21:02] 这个我觉得最近妈妈会有一个答案
[00:21:02 - 00:21:04] 反正你需要做的事情跟其他人一样
[00:21:04 - 00:21:06] 就是依照坚定
[00:21:06 - 00:21:08] 最起码坚定一年半
[00:21:08 - 00:21:12] 我的坚定的期限可能比你想的要久一些
[00:21:12 - 00:21:14] 我们都是从最底屏一天一天上来的
[00:21:14 - 00:21:17] 所以说我觉得我们的努力还是能够
[00:21:17 - 00:21:19] 还是能够影响到一些家长和考生的
[00:21:19 - 00:21:20] 我们能努力到什么程度
[00:21:20 - 00:21:22] 努力到什么程度就可以了
[00:21:23 - 00:21:26] 我在工作当中也好
[00:21:26 - 00:21:27] 生活当中也好
[00:21:27 - 00:21:28] 遇到一些比我年轻
[00:21:29 - 00:21:31] 然后达到了很高很高成就的人
[00:21:31 - 00:21:31] 然后的话
[00:21:31 - 00:21:32] 看到这些人的时候
[00:21:32 - 00:21:34] 我也在怀疑自己是不是自己不够努力
[00:21:34 - 00:21:36] 是不是自己塞到有错误
[00:21:36 - 00:21:38] 或者是其他的问题
[00:21:38 - 00:21:39] 但是后来你发现想那么多没有用
[00:21:39 - 00:21:41] 你可把手徒事儿干好了再说
[00:21:42 - 00:21:43] 我觉得首先确定第一个
[00:21:43 - 00:21:45] 其实他的视频我应该少看
[00:21:45 - 00:21:47] 为什么
[00:21:47 - 00:21:49] 因为他的内容和知识点的数数
[00:21:49 - 00:21:50] 包括断的
[00:21:50 - 00:21:51] 其实都是他自己的
[00:21:51 - 00:21:53] 他现在自己的一个流量也罢
[00:21:53 - 00:21:55] 还是说他自己的现在一个高度也罢
[00:21:55 - 00:21:57] 我觉得我没有必要玩
[00:21:57 - 00:21:58] 继续跟他比较
[00:21:58 - 00:22:01] 我可以走我自己的一个方向
[00:22:01 - 00:22:03] 不管比他好还是比他差的话
[00:22:03 - 00:22:05] 我觉得都是我自己的努力
[00:22:05 - 00:22:07] 所得到的结果
[00:22:07 - 00:22:09] 我也一定会能够接受这个结果
